#time   lat    lon   gyro  spd_log
11/12/21/02:59:06.303    40.3630   -70.7990   268.2500     10.89
11/12/21/03:00:06.303    40.3630   -70.8030   267.9400     10.97
11/12/21/03:01:06.303    40.3630   -70.8070   268.7000     10.98
11/12/21/03:02:06.303    40.3630   -70.8110   268.1500     10.95
11/12/21/03:03:06.303    40.3630   -70.8150   267.8800     10.83
11/12/21/03:04:06.303    40.3630   -70.8190   266.1100     10.88
11/12/21/03:05:06.303    40.3630   -70.8230   267.0200     10.85
11/12/21/03:06:06.303    40.3630   -70.8270   267.6100     10.86
11/12/21/03:07:06.303    40.3630   -70.8310   267.4700     10.85
11/12/21/03:08:06.303    40.3630   -70.8360   267.3000     10.94
11/12/21/03:09:06.303    40.3630   -70.8400   266.9500     10.86
11/12/21/03:10:06.303    40.3630   -70.8440   267.4600     10.91
11/12/21/03:11:06.303    40.3630   -70.8480   268.3100     10.89
11/12/21/03:12:06.303    40.3630   -70.8520   266.8100     10.86
11/12/21/03:13:06.304    40.3630   -70.8560   268.5700     11.00
11/12/21/03:14:06.304    40.3630   -70.8600   268.3800     11.01
11/12/21/03:15:06.304    40.3630   -70.8650   269.8400     11.00
11/12/21/03:16:06.304    40.3630   -70.8690   268.7900     10.98
11/12/21/03:17:06.304    40.3630   -70.8730   269.2200     11.04
11/12/21/03:18:06.304    40.3640   -70.8770   268.4400     10.97
11/12/21/03:19:06.304    40.3630   -70.8810   266.4600     10.89
11/12/21/03:20:06.304    40.3630   -70.8850   266.4700     10.95
11/12/21/03:21:06.304    40.3630   -70.8890   266.5500     11.05
11/12/21/03:22:06.304    40.3630   -70.8930   266.3500     10.90
11/12/21/03:23:06.304    40.3630   -70.8970   266.4500     10.91
11/12/21/03:24:06.304    40.3630   -70.9010   266.1700     10.87
11/12/21/03:25:06.304    40.3630   -70.9050   265.8000     10.93
11/12/21/03:26:06.304    40.3630   -70.9100   269.7200     10.88
11/12/21/03:27:06.304    40.3630   -70.9140   268.8800     10.82
11/12/21/03:28:06.304    40.3630   -70.9180   268.1100     10.78
11/12/21/03:29:06.305    40.3630   -70.9220   267.7700     10.87
11/12/21/03:30:06.305    40.3630   -70.9260   268.1700     10.95
11/12/21/03:31:06.305    40.3630   -70.9300   268.1400     10.89
11/12/21/03:32:06.305    40.3630   -70.9340   266.3800     10.89
11/12/21/03:33:06.305    40.3630   -70.9380   266.1900     10.85
11/12/21/03:34:06.305    40.3630   -70.9420   267.6400     10.82
11/12/21/03:35:06.305    40.3630   -70.9460   267.9400     10.84
11/12/21/03:36:06.305    40.3630   -70.9500   266.4400     10.81
11/12/21/03:37:06.305    40.3630   -70.9540   266.8900     10.88
11/12/21/03:38:06.305    40.3630   -70.9580   266.0700     10.89
11/12/21/03:39:06.305    40.3630   -70.9620   267.0200     10.88
11/12/21/03:40:06.305    40.3630   -70.9660   266.5300     10.84
11/12/21/03:41:06.305    40.3630   -70.9700   267.5700     10.86
11/12/21/03:42:06.305    40.3630   -70.9740   268.5500     10.84
11/12/21/03:43:06.305    40.3630   -70.9780   269.2100     10.82
11/12/21/03:44:06.305    40.3630   -70.9820   269.2900     10.81
11/12/21/03:45:06.306    40.3640   -70.9860   269.5100     10.94
11/12/21/03:46:06.306    40.3640   -70.9900   270.2700     10.14
11/12/21/03:47:06.306    40.3630   -70.9920   171.5300      3.46
11/12/21/03:48:06.306    40.3630   -70.9920   128.0300      0.01
11/12/21/03:49:06.306    40.3630   -70.9930   124.6600      0.09
11/12/21/03:50:06.306    40.3630   -70.9930   119.7400      1.19
11/12/21/03:51:06.306    40.3630   -70.9930   118.3400      0.51
11/12/21/03:52:06.306    40.3630   -70.9930   120.1200      0.24
11/12/21/03:53:06.306    40.3630   -70.9930   121.1300      0.43
11/12/21/03:54:06.306    40.3630   -70.9930   118.3100      0.45
11/12/21/03:55:06.306    40.3630   -70.9930   120.5400      0.38
11/12/21/03:56:06.306    40.3630   -70.9930   119.2700      0.46
11/12/21/03:57:06.306    40.3630   -70.9930   120.4400      0.41
11/12/21/03:58:06.306    40.3630   -70.9930   120.1800      0.51
11/12/21/03:59:06.306    40.3630   -70.9930   118.4900      0.35
11/12/21/04:00:06.307    40.3630   -70.9930   120.2300      0.65
11/12/21/04:01:06.307    40.3630   -70.9930   119.5500      0.21
11/12/21/04:02:06.307    40.3630   -70.9930   120.2000      0.71
11/12/21/04:03:06.307    40.3630   -70.9930   120.5900      0.50
11/12/21/04:04:06.307    40.3630   -70.9930   119.0800      0.64
11/12/21/04:05:06.307    40.3630   -70.9930   120.1200      0.50
11/12/21/04:06:06.307    40.3630   -70.9930   119.8700      0.35
11/12/21/04:07:06.307    40.3630   -70.9930   119.3600      0.35
11/12/21/04:08:06.307    40.3630   -70.9930   119.8400      0.39
11/12/21/04:09:06.307    40.3630   -70.9930   119.9100      0.37
11/12/21/04:10:06.307    40.3630   -70.9930   128.9400      0.65
11/12/21/04:11:06.307    40.3620   -70.9930   192.3100      2.45
11/12/21/04:12:06.307    40.3620   -70.9940   261.9100      4.61
11/12/21/04:13:06.307    40.3620   -70.9960   287.0400      6.48
11/12/21/04:14:06.307    40.3620   -70.9990   285.3800      9.22
11/12/21/04:15:06.307    40.3630   -71.0030   270.9400     10.10
11/12/21/04:16:06.308    40.3630   -71.0070   265.8900     10.80
11/12/21/04:17:06.308    40.3630   -71.0110   267.8400     10.99
11/12/21/04:18:06.308    40.3630   -71.0150   268.6600     10.99
11/12/21/04:19:06.308    40.3630   -71.0190   268.8700     11.06
11/12/21/04:20:06.308    40.3630   -71.0230   267.2900     11.13
11/12/21/04:21:06.308    40.3630   -71.0270   268.0000     11.09
11/12/21/04:22:06.308    40.3630   -71.0320   268.0400     11.00
11/12/21/04:23:06.308    40.3630   -71.0360   268.0400     10.92
11/12/21/04:24:06.308    40.3630   -71.0400   268.4400     10.91
11/12/21/04:25:06.308    40.3630   -71.0440   268.5900     10.85
11/12/21/04:26:06.308    40.3630   -71.0480   269.0300     10.87
11/12/21/04:27:06.308    40.3630   -71.0520   269.6800     10.95
11/12/21/04:28:06.308    40.3630   -71.0560   268.4600     10.95
11/12/21/04:29:06.308    40.3630   -71.0600   269.7200     10.92
11/12/21/04:30:06.308    40.3630   -71.0640   268.0600     10.88
11/12/21/04:31:06.309    40.3630   -71.0680   269.2700     10.93
11/12/21/04:32:06.309    40.3630   -71.0720   268.4200     10.89
11/12/21/04:33:06.309    40.3630   -71.0760   269.1600     10.97
11/12/21/04:34:06.309    40.3640   -71.0800   268.7600     10.91
11/12/21/04:35:06.309    40.3640   -71.0840   269.3800     10.78
11/12/21/04:36:06.309    40.3640   -71.0880   268.1600     10.86
11/12/21/04:37:06.309    40.3640   -71.0920   268.5200     10.83
11/12/21/04:38:06.309    40.3640   -71.0960   267.4200     10.82
11/12/21/04:39:06.309    40.3640   -71.1000   267.7700     10.86
11/12/21/04:40:06.309    40.3630   -71.1030   173.6900      5.17
11/12/21/04:41:06.309    40.3620   -71.1030    92.5900      3.28
11/12/21/04:42:06.309    40.3630   -71.1020    82.1000      5.30
11/12/21/04:43:06.309    40.3630   -71.0990    90.5000      7.73
11/12/21/04:44:06.309    40.3630   -71.0960    91.4700      8.68
11/12/21/04:45:06.309    40.3630   -71.0930    90.1600      9.44
11/12/21/04:46:06.309    40.3630   -71.0900    89.7900      9.64
11/12/21/04:47:06.310    40.3630   -71.0870    91.8900      9.44
11/12/21/04:48:06.310    40.3630   -71.0830    91.7100      9.42
11/12/21/04:49:06.310    40.3630   -71.0800    91.8100      9.55
11/12/21/04:50:06.310    40.3630   -71.0770    91.9600      9.44
11/12/21/04:51:06.310    40.3630   -71.0730    91.4300      9.60
11/12/21/04:52:06.310    40.3630   -71.0700    91.5800      9.71
11/12/21/04:53:06.310    40.3630   -71.0670    90.8100      9.67
11/12/21/04:54:06.310    40.3630   -71.0630    92.5700      9.80
11/12/21/04:55:06.310    40.3630   -71.0600    91.7200      9.57
11/12/21/04:56:06.310    40.3630   -71.0570    91.0700      9.76
11/12/21/04:57:06.310    40.3630   -71.0530    91.9200      9.85
11/12/21/04:58:06.310    40.3630   -71.0500    91.5500      9.71
11/12/21/04:59:06.310    40.3630   -71.0460    91.5700      9.70
11/12/21/05:00:06.310    40.3630   -71.0430    92.2600      9.68
11/12/21/05:01:06.310    40.3630   -71.0400    90.9800      9.78
11/12/21/05:02:06.310    40.3640   -71.0360    91.6300      9.78
11/12/21/05:03:06.311    40.3640   -71.0330    91.8700      9.81
11/12/21/05:04:06.311    40.3640   -71.0290    93.1100      9.70
11/12/21/05:05:06.311    40.3640   -71.0260    92.7400      9.73
11/12/21/05:06:06.311    40.3630   -71.0230    92.6100      9.82
11/12/21/05:07:06.311    40.3630   -71.0190    92.9600      9.83
11/12/21/05:08:06.311    40.3630   -71.0160    92.5600      9.90
11/12/21/05:09:06.311    40.3630   -71.0120    93.0000      9.90
11/12/21/05:10:06.311    40.3630   -71.0090    93.2700      9.72
11/12/21/05:11:06.311    40.3630   -71.0060    92.7700      9.69
11/12/21/05:12:06.311    40.3630   -71.0020    92.3400      9.85
11/12/21/05:13:06.311    40.3630   -70.9990    92.4000      9.84
11/12/21/05:14:06.311    40.3630   -70.9950    91.7800      9.92
11/12/21/05:15:06.311    40.3630   -70.9920    91.8000      9.89
11/12/21/05:16:06.311    40.3630   -70.9880    91.7800      9.79
11/12/21/05:17:06.311    40.3630   -70.9850    92.3100      9.86
11/12/21/05:18:06.312    40.3630   -70.9810    91.7400      9.78
11/12/21/05:19:06.312    40.3630   -70.9780    91.6600      9.74
11/12/21/05:20:06.312    40.3630   -70.9750    92.2200      9.81
11/12/21/05:21:06.312    40.3630   -70.9710    91.8100      9.86
11/12/21/05:22:06.312    40.3640   -70.9680    91.4800      9.92
11/12/21/05:23:06.312    40.3640   -70.9640    92.3100      9.78
11/12/21/05:24:06.312    40.3640   -70.9610    92.4300      9.88
11/12/21/05:25:06.312    40.3640   -70.9570    92.0800      9.85
11/12/21/05:26:06.312    40.3640   -70.9540    92.7100      9.71
11/12/21/05:27:06.312    40.3640   -70.9500    94.8300      9.74
11/12/21/05:28:06.312    40.3630   -70.9470    93.4100      9.73
11/12/21/05:29:06.312    40.3630   -70.9430    93.3100       nan
